ip,channel,strength,ssid,time,lat,lon,elat,elon,beacon
54:67:51:7E:34:E6,6,-96,KabelBox-2698,1674268124,52.465292016,13.42369736,20.907,53.51,2108
54:67:51:7F:8F:65,6,-94,KabelBox-F76C,1674268124,52.465292016,13.42369736,20.907,53.51,2544
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268124,52.465292016,13.42369736,20.907,53.51,2064
54:67:51:E8:7A:93,6,-100,KabelBox-F080,1674268124,52.465292016,13.42369736,20.907,53.51,2684
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268124,52.465292016,13.42369736,20.907,53.51,2780
58:90:43:69:22:15,1,-90,KabelBox-2210,1674268129,52.465292016,13.42369736,20.907,53.51,3836
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268129,52.465292016,13.42369736,20.907,53.51,3676
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268129,52.465292016,13.42369736,20.907,53.51,3604
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268129,52.465292016,13.42369736,20.907,53.51,2084
D8:7D:7F:21:5D:75,6,-96,KabelBox-5D70,1674268129,52.465292016,13.42369736,20.907,53.51,2092
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268129,52.465292016,13.42369736,20.907,53.51,452
54:67:51:A1:D5:6A,11,-88,KabelBox-CC34,1674268129,52.465292016,13.42369736,20.907,53.51,416
54:67:51:7E:34:E6,6,-96,KabelBox-2698,1674268129,52.465292016,13.42369736,20.907,53.51,2116
54:67:51:7F:8F:65,6,-96,KabelBox-F76C,1674268129,52.465292016,13.42369736,20.907,53.51,2348
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268129,52.465292016,13.42369736,20.907,53.51,2076
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268129,52.465292016,13.42369736,20.907,53.51,2692
DC:53:7C:F6:76:AE,11,-100,KabelBox-E8B5,1674268129,52.465292016,13.42369736,20.907,53.51,1408
58:90:43:69:22:15,1,-96,KabelBox-2210,1674268134,52.465292016,13.42369736,20.907,53.51,3980
D8:7D:7F:21:F2:A5,1,-94,KabelBox-F2A0,1674268134,52.465292016,13.42369736,20.907,53.51,3948
54:67:51:BA:CB:CE,1,-96,KabelBox-CCF0,1674268134,52.465292016,13.42369736,20.907,53.51,3616
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268134,52.465292016,13.42369736,20.907,53.51,2096
D8:7D:7F:21:5D:75,6,-100,KabelBox-5D70,1674268134,52.465292016,13.42369736,20.907,53.51,2104
54:67:51:B8:B2:F0,11,-84,2Girls1Router,1674268134,52.465292016,13.42369736,20.907,53.51,356
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268134,52.465292016,13.42369736,20.907,53.51,428
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268134,52.465292016,13.42369736,20.907,53.51,2124
54:67:51:7F:8F:65,6,-96,KabelBox-F76C,1674268134,52.465292016,13.42369736,20.907,53.51,2460
54:67:51:4B:54:2C,6,-94,KabelBox-E730,1674268134,52.465292016,13.42369736,20.907,53.51,2084
DC:53:7C:F4:96:45,1,-102,KabelBox-0665,1674268134,52.465292016,13.42369736,20.907,53.51,4184
54:67:51:E8:7A:93,6,-98,KabelBox-F080,1674268134,52.465292016,13.42369736,20.907,53.51,2700
54:67:51:4E:09:A1,6,-98,KabelBox-501C,1674268134,52.465292016,13.42369736,20.907,53.51,2744
